cpu_type,cpu_freq,mem_type,ipc,sim_seconds
O3,600MHz,DDR3,0.438327,0.035963
O3,600MHz,HBM,0.443303,0.03556
O3,600MHz,DDR4,0.439754,0.035847
O3,800MHz,DDR3,0.444463,0.026595
O3,800MHz,HBM,0.440312,0.026846
O3,800MHz,DDR4,0.438938,0.02693
O3,1000MHz,DDR3,0.436847,0.021647
O3,1000MHz,HBM,0.443068,0.021343
O3,1000MHz,DDR4,0.436543,0.021662
O3,1200MHz,DDR3,0.444547,0.017719
O3,1200MHz,HBM,0.441602,0.017838
O3,1200MHz,DDR4,0.442839,0.017788
O3,1400MHz,DDR3,0.43539,0.015508
O3,1400MHz,HBM,0.44196,0.015277
O3,1400MHz,DDR4,0.443172,0.015235
O3,1600MHz,DDR3,0.434107,0.013615
O3,1600MHz,HBM,0.439885,0.013436
O3,1600MHz,DDR4,0.439616,0.013444
O3,1800MHz,DDR3,0.433108,0.01214
O3,1800MHz,HBM,0.439576,0.011961
O3,1800MHz,DDR4,0.439739,0.011956
O3,2000MHz,DDR3,0.439055,0.010769
O3,2000MHz,HBM,0.437313,0.010812
O3,2000MHz,DDR4,0.439617,0.010755
O3,2200MHz,DDR3,0.436047,0.009867
O3,2200MHz,HBM,0.436648,0.009854
O3,2200MHz,DDR4,0.436133,0.009865
O3,2400MHz,DDR3,0.430564,0.009158
O3,2400MHz,HBM,0.429343,0.009185
O3,2400MHz,DDR4,0.435356,0.009058
O3,2600MHz,DDR3,0.435921,0.008352
O3,2600MHz,HBM,0.428393,0.008499
O3,2600MHz,DDR4,0.43441,0.008381
O3,2800MHz,DDR3,0.433513,0.007787
O3,2800MHz,HBM,0.42749,0.007897
O3,2800MHz,DDR4,0.429392,0.007862
O3,3000MHz,DDR3,0.428707,0.007345
O3,3000MHz,HBM,0.43029,0.007318
O3,3000MHz,DDR4,0.43125,0.007302
O3,3200MHz,DDR3,0.43153,0.006859
O3,3200MHz,HBM,0.425438,0.006957
O3,3200MHz,DDR4,0.427671,0.006921
O3,3300MHz,DDR3,0.427021,0.00671
O3,3300MHz,HBM,0.429112,0.006677
O3,3300MHz,DDR4,0.426771,0.006714
TIMING,600MHz,DDR3,0.229409,0.068715
TIMING,600MHz,HBM,0.229342,0.068735
TIMING,600MHz,DDR4,0.229373,0.068726
TIMING,800MHz,DDR3,0.229102,0.051595
TIMING,800MHz,HBM,0.228962,0.051627
TIMING,800MHz,DDR4,0.229074,0.051601
TIMING,1000MHz,DDR3,0.228802,0.04133
TIMING,1000MHz,HBM,0.228641,0.041359
TIMING,1000MHz,DDR4,0.228799,0.041331
TIMING,1200MHz,DDR3,0.228441,0.034482
TIMING,1200MHz,HBM,0.228273,0.034508
TIMING,1200MHz,DDR4,0.22844,0.034483
TIMING,1400MHz,DDR3,0.228027,0.02961
TIMING,1400MHz,HBM,0.227733,0.029648
TIMING,1400MHz,DDR4,0.22786,0.029632
TIMING,1600MHz,DDR3,0.227857,0.025938
TIMING,1600MHz,HBM,0.227571,0.025971
TIMING,1600MHz,DDR4,0.227811,0.025944
TIMING,1800MHz,DDR3,0.227551,0.023106
TIMING,1800MHz,HBM,0.227225,0.023139
TIMING,1800MHz,DDR4,0.227544,0.023107
TIMING,2000MHz,DDR3,0.22721,0.02081
TIMING,2000MHz,HBM,0.226941,0.020835
TIMING,2000MHz,DDR4,0.227225,0.020808
TIMING,2200MHz,DDR3,0.226891,0.018964
TIMING,2200MHz,HBM,0.22653,0.018994
TIMING,2200MHz,DDR4,0.226955,0.018958
TIMING,2400MHz,DDR3,0.226665,0.017397
TIMING,2400MHz,HBM,0.2262,0.017433
TIMING,2400MHz,DDR4,0.226705,0.017394
TIMING,2600MHz,DDR3,0.226312,0.016087
TIMING,2600MHz,HBM,0.22584,0.016121
TIMING,2600MHz,DDR4,0.226411,0.01608
TIMING,2800MHz,DDR3,0.226026,0.014936
TIMING,2800MHz,HBM,0.225592,0.014965
TIMING,2800MHz,DDR4,0.22613,0.014929
TIMING,3000MHz,DDR3,0.225659,0.013955
TIMING,3000MHz,HBM,0.225191,0.013984
TIMING,3000MHz,DDR4,0.225613,0.013957
TIMING,3200MHz,DDR3,0.225314,0.013137
TIMING,3200MHz,HBM,0.224859,0.013163
TIMING,3200MHz,DDR4,0.225352,0.013134
TIMING,3300MHz,DDR3,0.225197,0.012724
TIMING,3300MHz,HBM,0.2247,0.012752
TIMING,3300MHz,DDR4,0.225238,0.012721
